excel_row,source,owner,dc_name,country,city,address,lat,long,match_count,matched_excel_rows,matched_names,matched_owners
1014,DC Byte,NTT Global Data Centers,Cyberjaya 2 (CBJ2),Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.927652666,101.6581039,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1015,DC Byte,YTL,Cyberjaya,Malaysia,null,"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.927746958,101.5895283,0,,,
1016,DC Byte,NTT Global Data Centers,Cyberjaya 1 (CBJ1),Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.927847196,101.6581248,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1017,DC Byte,Telekom Malaysia,CBJ1,Malaysia,Sepang,"TM IT Complex, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.929886756,101.6577777,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1018,DC Byte,Global Data Centre,Cyberjaya,Malaysia,Cyberjaya,"Cyberjaya, Malaysia.",2.931603264,101.6521192,1,11525,DC.2,STT Global Data Centres India Private Limited
1019,DC Byte,Telekom Malaysia,Klang Valley Core Data Centre (KVDC),Malaysia,Sepang,"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.932377773,101.6578556,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1020,DC Byte,AIMS,Cyberjaya,Malaysia,Sepang,"AIMS CYBERJAYA, Jalan Teknokrat 1/2, Cyber 3, 63000 Cyberjaya, Selangor, Malaysia",2.937765981,101.6573328,2,8492; 11031,AIMS @ Cyberjaya; Cyberport,AIMS Data Centre Sdn Bhd; Tsg International Limited
1021,DC Byte,Amazon Web Services,Bukit Jalil,Malaysia,Kuala Lumpur,"Bukit Jalil, Malaysia",3.044000271,101.6764159,1,15021,Kuala Lumpur,Patimas Computers Berhad
1022,DC Byte,Bridge Data Centres,MY03 Expansion,Malaysia,Kuala Lumpur,"MY03, 11, Jalan Inovasi 3, Technology Park Malaysia, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.045804305,101.6935632,5,14502; 15021; 16792; 16793; 16794,Jaring Data Center; Kuala Lumpur; MY03; MY03 -2; MY03 -3,Everworks; Patimas Computers Berhad; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.
1023,DC Byte,Bridge Data Centres,MY03,Malaysia,Kuala Lumpur,"MY03, 11, Jalan Inovasi 3, Technology Park Malaysia, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.04645864,101.6925899,4,14502; 15021; 16793; 16794,Jaring Data Center; Kuala Lumpur; MY03 -2; MY03 -3,Everworks; Patimas Computers Berhad; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.
