Facility Owner,Count,% of Total,Search Company Name
PT Karya Bangun Nusantara,14,0.1,PT Karya Bangun Nusantara
"LightEdge Solutions, Inc.",14,0.1,LightEdge
Bitfarms Ltd.,14,0.1,Bitfarms
Beacon AI Centers,14,0.1,Beacon AI Centers
Genesis Digital Assets Limited,14,0.1,Genesis Digital Assets
Yondr Group Holdings B.V.,14,0.1,Yondr
Hut 8 Mining Corp.,14,0.1,Hut 8
Noovle Srl,14,0.1,Noovle
Nippon Telegraph And Telephone West Corporation,14,0.1,NTT West
Atman sp. z o.o.,14,0.1,Atman
AI TECH FLSAY,14,0.1,AI TECH FLSAY
"Rackhouse Group, LLC",13,0.09,Rackhouse Group
BT Group plc,13,0.09,BT
Borealis Data Center ehf.,13,0.09,Borealis Data Center
"KT Cloud Co., Ltd.",13,0.09,KT Cloud
"Shanghai Yovole Networks Co., Ltd.",13,0.09,Shanghai Yovole Networks
Oppidan Investment Company,13,0.09,Oppidan Investment
Chirisa Technology Parks,13,0.09,Chirisa Technology Parks
ChinaCache International Holdings Ltd.,13,0.09,ChinaCache
"ePLDT, Inc.",12,0.08,ePLDT
Novva Data Centers,12,0.08,Novva
Africa Data Centres (Pty.) Ltd.,12,0.08,Africa Data Centres
"CentriLogic, Inc.",12,0.08,CentriLogic
"AVAIO Digital Management, LLC",12,0.08,AVAIO Digital
Reliance Communications Limited,12,0.08,Reliance Communications
GTD Grupo Teleductos S.A.,12,0.08,GTD
CapitaLand Ascendas REIT,12,0.08,CapitaLand
Edge Centres,12,0.08,Edge Centres
Elea Digital Infraestrutura e Redes de Telecomunicações S.A.,12,0.08,Elea Digital
AT TOKYO Corporation,12,0.08,AT TOKYO
Mobile TeleSystems India,12,0.08,MTS
Software Technology Park of India,12,0.08,STPI
"Evocative, Inc.",11,0.08,Evocative
"Shenzhen Esin Technology Inc.,Ltd.",11,0.08,Shenzhen Esin Technology
Etihad Etisalat Company,11,0.08,Mobily
Eurofiber N.V.,11,0.08,Eurofiber
Applied Digital Corporation,11,0.08,Applied Digital
"Blackstone Real Estate Income Trust, Inc.",11,0.08,Blackstone
Dbt-Data LLC,11,0.08,Dbt-Data
Northern Data AG,11,0.08,Northern Data
Oneneck It Solutions LLC,11,0.08,OneNeck
I.T.E.N.O.S. International Telecom Network Operation Services GmbH,11,0.08,ITENOS
PT DCI Indonesia Tbk,11,0.08,DCI Indonesia
Telecom Italia S.p.A.,11,0.08,Telecom Italia
KT Corporation,11,0.08,KT
"Core Scientific, Inc.",11,0.08,Core Scientific
"SZZT Electronics CO.,LTD",11,0.08,SZZT Electronics
SCSK Corporation,11,0.08,SCSK
Towngas Smart Energy Company Limited,11,0.08,Towngas Smart Energy
"MC Digital Realty, Inc.",11,0.08,Digital Realty
Hetzner Online Gmbh,11,0.08,Hetzner
TIS Inc.,11,0.08,TIS
Green Datacenter AG,11,0.08,Green Datacenter
Digital Core REIT,10,0.07000000000000001,Digital Realty
"Data Canopy Colocation, LLC",10,0.07000000000000001,Data Canopy Colocation
DCI Data Centers,10,0.07000000000000001,DCI Data Centers
Epoch Digital,10,0.07000000000000001,Epoch Digital
"China International Data Systems Co., Ltd.",10,0.07000000000000001,China International Data Systems
Lumos Networks Corp.,10,0.07000000000000001,Lumos Networks
"Insigma Technology Co., Ltd.",10,0.07000000000000001,Insigma Technology
Adaniconnex Private Limited,10,0.07000000000000001,AdaniConneX
"Chunghwa Telecom Co., Ltd.",10,0.07000000000000001,Chunghwa Telecom
"Samsung SDS Co.,Ltd.",10,0.07000000000000001,Samsung SDS
"Digital Fortress Holdings, Inc.",10,0.07000000000000001,Digital Fortress
GLP International Data Center Holdings Limited,10,0.07000000000000001,GLP
"CapRock Partners, LLC",10,0.07000000000000001,CapRock Partners
Al Moammar Information Systems Company,10,0.07000000000000001,Al Moammar Information Systems
GI Partners,9,0.06,GI Partners
Etisalat,9,0.06,Etisalat
Bitriver LP,9,0.06,Bitriver
"Involta, LLC",9,0.06,Involta
FirstLight Fiber,9,0.06,FirstLight Fiber
DataPro,9,0.06,DataPro
Telecom Italia Sparkle S.p.A.,9,0.06,Sparkle
Western Cloud Data Technology,9,0.06,Western Cloud Data Technology
Glory Data,9,0.06,Glory Data
Telkom SA SOC Ltd,9,0.06,Telkom SA
Votorantim Industrial S/A,9,0.06,Votorantim Industrial S/A
TELUS Corporation,9,0.06,TELUS
"Globe Telecom, Inc.",9,0.06,Globe Telecom
Aruba S.p.A.,9,0.06,Aruba
Datacenter Science,9,0.06,Datacenter Science
Center3,9,0.06,Center3
Urbacon Limited,9,0.06,Urbacon
Harbour Centre,9,0.06,Harbour Centre
Société Française de Radiotéléphone (SFR) SA,9,0.06,SFR
Ecodatacenter AB,9,0.06,Ecodatacenter
Verne Global Ltd,9,0.06,Verne Global
iomart Group plc,9,0.06,iomart
Nowtop,9,0.06,Nowtop
TA Realty LLC,9,0.06,TA Realty
Nebius Group N.V.,9,0.06,Nebius
Aptum Technologies,9,0.06,Aptum Technologies
Ooredoo Q.P.S.C.,9,0.06,Ooredoo
Adgar Investments and Development Ltd,8,0.06,Adgar Investments and Development
"Aphorio Carter Fund Management Company, LLC",8,0.06,Aphorio Carter Fund
Datacom Australia Holdings Pty Limited,8,0.06,Datacom Australia
BitCluster,8,0.06,BitCluster
Bharat Sanchar Nigam Limited,8,0.06,Bharat Sanchar Nigam
Cipher Mining Inc.,8,0.06,Cipher Mining
Singtel Digital InfraCo,8,0.06,Singtel Digital InfraCo
Turkcell Iletisim Hizmetleri A.S.,8,0.06,Turkcell Iletisim Hizmetleri
"11:11 Systems, Inc.",8,0.06,11:11 Systems
NTT Communications Corporation,8,0.06,NTT Communications
Versatel Telecommunications Gmbh,8,0.06,Versatel Telecommunications
LuxConnect S.A.,8,0.06,LuxConnect
ZFB Group,8,0.06,ZFB Group
"Hitachi, Ltd.",8,0.06,Hitachi
Viettel-CHT Company Limited,8,0.06,Viettel-CHT
Gongqi Technology,8,0.06,Gongqi Technology
"Kehua Data Co., Ltd.",8,0.06,Kehua Data
T-Mobile Czech Republic a.s.,8,0.06,T-Mobile Czech Republic
"Starwood Capital Operations, LLC",8,0.06,Starwood Capital Operations
ESR,8,0.06,ESR
Datum Datacentres Limited,8,0.06,Datum Datacentres
Global Technical Realty,8,0.06,Global Technical Realty
Vietnam Posts & Telecommunications Group,8,0.06,Vietnam Posts and Telecommunications Group
Neo Telemedia Limited,8,0.06,Neo Telemedia
EBRC S.A.,8,0.06,EBRC
Harlow Operations Ltd.,8,0.06,Harlow Operations
IXcellerate,8,0.06,IXcellerate
Fonds QScale S.E.C.,8,0.06,Fonds QScale S.E.C
Raxio Group B.V.,8,0.06,Raxio
CloudBurst Data Centers,8,0.06,CloudBurst Data Centers
165 Halsey Street Inc.,7,0.05,165 Halsey Street
"MDC, Inc",7,0.05,MDC
Telecom Egypt Company,7,0.05,Telecom Egypt
maincubes one GmbH,7,0.05,maincubes one
"HostDime.com, Inc.",7,0.05,HostDime.com
21st Century Technologies Limited (21ctl),7,0.05,21st Century Technologies
IFX Networks LLC,7,0.05,IFX Networks
BDx Indonesia,7,0.05,BDx Indonesia
Net 4 India Limited,7,0.05,Net 4 India
Haoyang Cloud,7,0.05,Haoyang Cloud
"Claranet Soho, S.A.",7,0.05,Claranet
Big Data Exchange,7,0.05,Big Data Exchange
Giant DC,7,0.05,Giant DC
"Daily-Tech Beijing Co., Ltd.",7,0.05,Daily-Tech Beijing
Selectel LLC,7,0.05,Selectel
"Markley, LLC",7,0.05,Markley
"Province Realty Group, Inc.",7,0.05,Province Realty Group
OneAsia Network Limited,7,0.05,OneAsia Network
DWS Group GmbH & Co. KGaA,7,0.05,DWS
Fiber Alley Data Centers,7,0.05,Fiber Alley Data Centers
TNW Networks Corp.,7,0.05,TNW Networks
"Dr. Peng Telecom & Media Group Co., Ltd.",7,0.05,Dr. Peng Telecom and Media Group
China Broadnet,7,0.05,China Broadnet
Miningstore,7,0.05,Miningstore
"Patrinely Group, LLC",7,0.05,Patrinely Group
Mivitec GmbH,7,0.05,Mivitec
Canon IT Solutions Inc.,7,0.05,Canon IT Solutions
Emirates Integrated Telecommunications Company PJSC,7,0.05,Emirates Integrated Telecommunications
myLoc managed IT AG,7,0.05,myLoc managed IT
"Netnic (Beijing) Network Co., Ltd.",7,0.05,Netnic Network
"Far EasTone Telecommunications Co., Ltd.",7,0.05,Far EasTone Telecommunications
eww ag,7,0.05,eww
"Silk Road Telecommunications (SRT) Co., Ltd.",7,0.05,Silk Road Telecommunications
Sonda S.A.,7,0.05,Sonda
"Shanghai Data Solution Co., Ltd.",7,0.05,Shanghai Data Solution
IDC Frontier Inc.,7,0.05,IDC Frontier
Karatzis S.A. Industrial & Hotel Enterprises,7,0.05,Karatzis S.A. Industrial and Hotel Enterprises
"Nomura Research Institute, Ltd.",7,0.05,Nomura Research Institute
Quantum Switch Tamasuk Limited,7,0.05,Quantum Switch Tamasuk
Chayora Limited,7,0.05,Chayora
Internap Holding LLC,6,0.04,Internap
3S S.A.,6,0.04,3S
A1 Telekom Austria AG,6,0.04,A1 Telekom Austria
"Digital Data Centre Bidco, S.L.",6,0.04,"Digital Data Centre Bidco, S.L"
Switch Datacenters Amsterdam B.V.,6,0.04,Switch Datacenters
T.C.C. Technology Company Limited,6,0.04,T.C.C. Technology
LCL Belgium N.V.,6,0.04,LCL Belgium
"Atomic Data, LLC",6,0.04,Atomic Data
Eagle South LLC,6,0.04,Eagle South
Element Critical,6,0.04,Element Critical
AiNET Corporation,6,0.04,AiNET
Impulse Web,6,0.04,Impulse Web
T-Systems Solutions For Research GmbH,6,0.04,T-Systems Solutions For Research
V. Tal - Rede Neutra de Telecomunicações S.A.,6,0.04,V. Tal - Rede Neutra de Telecomunicações
"Bell Canada, Inc.",6,0.04,Bell Canada
Telium Networks,6,0.04,Telium Networks
Vodafone Group Public Limited Company,6,0.04,Vodafone
Swisscom AG,6,0.04,Swisscom
Deutsche Telekom AG,6,0.04,Deutsche Telekom
Millicom International Cellular S.A.,6,0.04,Millicom International Cellular
iseek Pty Ltd.,6,0.04,iseek
"Salcido Enterprises, LLC",6,0.04,Salcido Enterprises
Claro Corp.,6,0.04,Claro
GTS Central Europe,6,0.04,GTS Central Europe
TelemaxX Telekommunikation GmbH,6,0.04,TelemaxX Telekommunikation
"FDC Servers.net, LLC",6,0.04,FDC Servers.net
Ascent Corporation,6,0.04,Ascent
Segra,6,0.04,Segra
Cifra Capital,6,0.04,Cifra Capital
Tulip Telecom Limited,6,0.04,Tulip Telecom
Chief Telecom Inc.,6,0.04,Chief Telecom
5C Data Centers,6,0.04,5C Data Centers
Colocationix Gmbh,6,0.04,Colocationix
Copper Ridge Culpeper LLC,6,0.04,Copper Ridge Culpeper
New Altice Europe B.V.,6,0.04,New Altice Europe
SAKURA Internet Inc.,6,0.04,SAKURA Internet
Win Empresas S.A.C.,6,0.04,Win Empresas
The Mining Future,6,0.04,The Mining Future
PT. Supra Primatama Nusantara,6,0.04,PT. Supra Primatama Nusantara
"América Móvil, S.A.B. de C.V.",6,0.04,America Movil
"IPI Partners, LLC",6,0.04,IPI Partners
Aldgate Investments Limited,6,0.04,Aldgate Investments
"True Internet Data Center Co., LTD.",6,0.04,True Internet Data Center
Kepler Communications,6,0.04,Kepler Communications
Grand Ming Group Holdings Limited,6,0.04,Grand Ming Group
